"Manufacturer / Distributor","Disc Model","Max Weight (gr)","Diameter (cm)","Height (cm)","Rim Depth (cm)","Inside Rim Diameter (cm)","Rim Thickness (cm)","Rim Depth / Diameter Ratio (%)","Rim Configuration","Flexibility (kg)","Class","Max Weight Vint (gr)","Last Year Production","Certification Number","Approved Date"
"Discraft","Riptide","177.6","21.4","1.7","1.2","17.4","2.0","5.6","27.50","9.75","","","","03-11","Jul 10, 2003"
"Innova-Champion Discs","Viking","176.0","21.2","1.4","1.1","17.4","1.9","5.2","30.75","7.48","","","","03-10","Jun 2, 2003"
"Innova-Champion Discs","Starfire","176.0","21.2","1.4","1.1","17.2","2.0","5.2","29.00","7.71","","","","03-09","May 8, 2003"
"Aerobie","Arrow - Approach & Putter","177.6","21.4","1.8","1.1","18.4","1.5","5.1","30.75","10.66","","","","03-08","Apr 16, 2003"
"Aerobie","Epic Driver","175.1","21.1","1.4","1.1","14.5","","5.2","26.50","12.02","","","","03-07","Apr 16, 2003"
"Innova-Champion Discs","Monster","176.0","21.2","1.4","1.2","17.2","2.0","5.7","32.25","8.85","","","","03-03","Jan 26, 2003"
"Discraft","Challenger","174.3","21.0","2.2","1.6","19.0","1.0","7.6","61.50","8.39","","","","03-04","Jan 26, 2003"
"Gateway Disc Sports","Speed Demon","177.6","21.4","1.8","1.1","17.0","2.2","5.1","27.00","10.89","","","","03-01","Jan 11, 2003"
"Gateway Disc Sports","Chief","174.3","21.0","2.1","1.5","19.0","1.0","7.1","60.50","9.53","","","","03-02","Jan 11, 2003"
"Innova-Champion Discs","Beast","176.0","21.2","1.4","1.1","17.1","2.0","5.2","26.76","8.96","","","","02-11","Dec 2, 2002"
"Discraft","Wasp","179.3","21.6","1.8","1.3","19.2","1.2","6.0","37.00","8.39","","","","02-13","Sep 29, 2002"
"Discraft","Talon","174.3","21.0","1.5","1.1","17.5","1.8","5.2","28.25","9.30","","","","02-12","Sep 19, 2002"
"Innova-Champion Discs","CE Spider","176.0","21.2","1.7","1.4","18.6","1.3","6.6","45.00","6.46","","","","02-10","Aug 12, 2002"
"Innova-Champion Discs","CE Aero","182.6","22.0","2.3","1.3","20.0","1.0","5.9","43.75","4.54","","","","02-09","Jun 5, 2002"
"Millennium Golf Discs","QJLS","176.0","21.2","1.8","1.1","18.0","1.6","5.2","30.75","9.19","","","","02-04","May 30, 2002"
"Millennium Golf Discs","QMS","180.9","21.8","2.0","1.4","19.4","1.2","6.4","36.75","10.66","","","","02-05","May 30, 2002"
"Discraft","Storm","177.6","21.4","1.8","1.3","18.8","1.3","6.1","35.75","10.66","","","","02-07","May 29, 2002"
"Discraft","Wildcat","176.8","21.3","1.5","1.2","17.5","1.9","5.6","27.25","10.21","","","","02-08","May 29, 2002"
"Discraft","Predator","176.0","21.2","1.9","1.1","17.4","1.9","5.2","28.50","7.48","","","","02-06","May 29, 2002"
"Discraft","Putt'r","174.3","21.0","2.4","1.6","19.2","0.9","7.6","78.75","8.28","Vintage Class","140.7","","02-03","Mar 16, 2002"
"Plastic Paradise","Maximizer","180.9","21.8","1.8","1.6","18.4","1.7","7.3","28.75","6.46","","","","02-02","Jan 31, 2002"
"Gateway Disc Sports","Wizard","174.3","21.0","2.1","1.8","19.0","1.0","8.6","59.25","10.43","","","","02-01","Jan 9, 2002"
"Innova-Champion Discs","Ace","175.1","21.1","1.6","1.2","17.9","1.6","5.7","27.75","10.09","","","","01-10","Nov 27, 2001"
"Lightning Discs","#2 Helix","176.0","21.2","1.7","1.4","17.8","1.7","6.6","34.00","7.48","","","","01-09","Sep 13, 2001"
"Plastic Paradise","Optimizer","182.6","22.0","1.7","1.7","20.2","0.9","7.7","68.00","2.72","","","","01-07","Aug 21, 2001"
"Innova-Champion Discs","Archangel","175.1","21.1","1.6","1.5","17.3","1.9","7.1","31.25","9.19","","","","01-06","Aug 21, 2001"
"Discraft","Reaper","177.6","21.4","1.5","1.2","17.8","1.8","5.6","29.50","9.30","","","","01-05","Aug 20, 2001"
"Innova-Champion Discs","CE FireBird","176.0","21.2","1.4","1.2","17.4","1.9","5.7","26.75","9.75","","","","01-16","Jun 12, 2001"
"Innova-Champion Discs","CE Aviar","176.8","21.3","2.0","1.5","19.5","0.9","7.0","55.75","6.01","","","","01-14","Jun 2, 2001"
"Innova-Champion Discs","CE TeeBird","176.0","21.2","1.5","1.1","17.8","1.7","5.2","29.25","8.28","","","","01-15","Jun 2, 2001"
"Innova-Champion Discs","Dragon","174.3","21.0","1.9","1.2","17.4","1.8","5.7","32.00","6.12","","","","01-01","Mar 24, 2001"
"Innova-Champion Discs","CE Valkyrie","176.0","21.2","1.4","1.2","17.4","1.9","5.7","26.00","11.11","","","","01-13","Feb 25, 2001"
"Innova-Champion Discs","CE Eagle","176.0","21.2","1.6","1.2","17.8","1.7","5.7","29.50","9.75","","","","01-12","Feb 7, 2001"
"Innova-Champion Discs","CE Leopard","175.1","21.1","1.6","1.1","17.9","1.6","5.2","29.25","8.85","","","","01-11","Jan 29, 2001"
"Innova-Champion Discs","Spider","176.0","21.2","1.7","1.4","18.6","1.3","6.6","45.00","7.82","","","","01-02","Jan 19, 2001"
"Discraft","Xpress","175.1","21.1","1.8","1.2","17.6","1.7","5.7","28.00","9.64","","","","00-15","Dec 5, 2000"
"Lightning Discs","#2 Putter","180.9","21.8","2.6","1.6","19.8","1.0","7.3","53.75","4.20","","","","00-14","Nov 10, 2000"
"Gateway Disc Sports","Demon","175.1","21.1","1.9","1.2","17.7","1.7","5.7","30.25","11.11","","","","00-11","Sep 5, 2000"
"Gateway Disc Sports","Scout (old)","174.3","21.0","2.0","1.2","17.6","1.7","5.7","37.50","7.48","","","","00-10","Sep 5, 2000"
"Discraft","XS","175.1","21.1","1.8","1.2","17.6","1.8","5.7","27.50","8.51","","","","00-12","Sep 4, 2000"
"Innova-Champion Discs","Valkyrie","175.1","21.1","1.4","1.2","17.3","1.9","5.7","26.00","8.05","","","","00-09","Aug 28, 2000"
"Lightning Discs","#2 Upshot","177.6","21.4","2.0","1.5","19.6","0.9","7.0","51.25","6.01","","","","00-07","Mar 28, 2000"
"Lightning Discs","#4 Driver","176.0","21.2","1.7","1.1","17.9","1.7","5.2","26.75","8.05","","","","00-08","Mar 28, 2000"
"Innova-Champion Discs","Firebird","175.1","21.1","1.4","1.2","17.3","1.9","5.7","26.75","9.75","","","","00-06","Mar 21, 2000"
"Discraft","XTRA","175.1","21.1","1.8","1.2","17.7","1.7","5.7","27.00","9.75","","","","00-05","Mar 15, 2000"
"Innova-Champion Discs","Gator","176.0","21.2","1.9","1.4","18.6","1.3","6.6","49.50","10.32","","","","00-04","Jan 21, 2000"
"CHING Sports","Stinger","176.8","21.3","1.6","1.2","19.7","0.8","5.6","46.50","4.65","","","","00-03","Jan 19, 2000"
"Discraft","MRV","176.8","21.3","2.2","1.3","18.9","1.2","6.1","36.25","8.05","","","","00-01","Jan 10, 2000"
"Discraft","Xtreme","174.3","21.0","1.9","1.2","17.7","1.7","5.7","29.00","8.16","","","","00-02","Jan 1, 2000"
"Gateway Disc Sports","Sabre","176.0","21.2","1.8","1.2","17.8","1.7","5.7","27.00","10.77","","","","99-09","Oct 20, 1999"
"Gateway Disc Sports","Warrior (old)","174.3","21.0","2.1","1.2","17.6","1.7","5.7","33.50","11.79","","","","99-12","Oct 20, 1999"
"Gateway Disc Sports","Apache","174.3","21.0","2.0","1.2","17.6","1.7","5.7","27.50","10.21","","","","99-10","Oct 20, 1999"
"Gateway Disc Sports","Blaze","175.1","21.1","1.9","1.2","17.7","1.7","5.7","30.25","10.77","","","","99-11","Oct 20, 1999"
"Millennium Golf Discs","JLS","174.3","21.0","1.5","1.1","17.8","1.6","5.2","30.75","8.73","","","","99-08","Jun 16, 1999"
"Innova-Champion Discs","Leopard","176.0","21.2","1.6","1.1","18.0","1.6","5.2","29.25","7.60","","","","99-07","May 12, 1999"
"Innova-Champion Discs","TeeBird","176.0","21.2","1.5","1.1","17.8","1.7","5.2","29.25","7.83","","","","99-06","May 3, 1999"
"Innova-Champion Discs","Puma","176.0","21.2","1.7","1.2","18.6","1.3","5.7","42.75","9.64","","","","99-05","Apr 5, 1999"
"Innova-Champion Discs","Eagle (new)","176.0","21.2","1.6","1.2","17.8","1.7","5.7","29.50","7.82","","","","99-04","Mar 12, 1999"
"CHING Sports","Bomb","176.0","21.2","1.6","1.3","18.0","1.6","6.1","28.50","7.03","","","","99-02","Feb 14, 1999"
"Innova-Champion Discs","Wolf","180.9","21.8","1.6","1.1","19.4","1.2","5.0","30.25","6.35","","","","99-03","Feb 14, 1999"
"Discraft","APX","174.3","21.0","2.3","1.4","19.2","0.9","6.7","49.25","7.03","","","","99-01","Jan 29, 1999"
"Gateway Disc Sports","844 Sabre","175.1","21.1","2.2","1.2","17.7","1.7","5.7","27.00","10.77","","","","98-14","Nov 22, 1998"
"CHING Sports","Tank","176.0","21.2","2.0","1.3","19.4","0.9","6.1","59.75","5.10","","","","98-13","Nov 13, 1998"
"Innova-Champion Discs","Rhyno","176.0","21.2","1.9","1.3","19.2","1.0","6.1","56.75","6.24","","","","98-12","Nov 9, 1998"
"CHING Sports","Sniper","176.0","21.2","1.6","1.2","18.6","1.3","5.7","40.00","7.03","","","","98-11","Sep 5, 1998"
"Millennium Golf Discs","EXP","175.1","21.1","1.6","1.2","17.5","1.8","5.7","28.25","9.87","","","","98-08","Jul 28, 1998"
"Innova-Champion Discs","Cheetah (retooled)","176.0","21.2","1.9","1.2","18.0","1.6","5.7","28.25","10.54","","","","98-10","Jul 28, 1998"
"Discraft","MRX","176.8","21.3","2.1","1.3","18.5","1.4","6.1","38.75","9.19","","","","98-05","Jun 28, 1998"
"Discraft","XL","175.1","21.1","2.1","1.2","17.7","1.7","5.7","32.25","8.50","","","","98-04","Apr 3, 1998"
"Discraft","X2","174.3","21.0","1.8","1.2","17.6","1.7","5.7","30.25","11.11","","","","98-03","Feb 16, 1998"
"Millennium Golf Discs","Sentinel MF","180.1","21.7","2.1","1.2","19.1","1.3","5.5","27.50","6.24","","","","98-02","Feb 3, 1998"
"Innova-Champion Discs","Banshee","176.0","21.2","1.5","1.2","17.6","1.8","5.7","29.25","6.58","","","","98-01","Jan 14, 1998"
"Wham-O / DTW","Gemini","175.1","21.1","2.5","1.5","19.5","0.8","7.1","80.00","3.20","Vintage Class","141.4","","97-08","Nov 26, 1997"
"Wham-O / DTW","Max Flight","184.3","22.2","2.3","1.3","19.8","1.2","5.9","42.75","2.95","","","","97-06","Nov 26, 1997"
"Wham-O / DTW","Voyager II","175.1","21.1","1.6","1.2","17.7","1.7","5.7","28.00","7.94","","","","97-07","Nov 26, 1997"
"Wham-O / DTW","Apollo","179.3","21.6","2.0","1.1","19.2","1.2","5.1","32.25","12.25","","","","97-05","May 12, 1997"
"Discraft","Stratus","177.6","21.4","1.8","1.2","19.0","1.2","5.6","36.25","6.58","","","","97-04","Apr 12, 1997"
"Innova-Champion Discs","Pegasus","175.1","21.1","1.7","1.1","17.7","1.7","5.2","31.75","9.07","","","","97-03","Mar 21, 1997"
"Lightning Discs","#3 Driver","186.8","22.5","2.0","1.2","19.3","1.6","5.3","29.75","8.05","","","","97-02","Mar 15, 1997"
"Wham-O / DTW","Voyager","175.1","21.1","1.7","1.1","17.9","1.6","5.2","30.75","9.30","","","","97-01","Jan 28, 1997"
"Lightning Discs","#2 Hookshot","178.5","21.5","2.1","1.1","18.9","1.3","5.1","40.00","6.40","","","","96-09","Dec 31, 1996"
"Lightning Discs","#2 Roller","195.9","23.6","2.1","1.4","19.2","1.7","5.9","30.25","12.25","","","","96-10","Dec 31, 1996"
"Lightning Discs","#2 Slice","179.3","21.6","2.0","1.1","19.0","1.3","5.1","27.25","6.69","","","","96-11","Dec 31, 1996"
"Lightning Discs","#3 Flyer","185.1","22.3","2.0","1.2","19.2","1.5","5.4","36.25","9.10","","","","96-12","Dec 31, 1996"
"Lightning Discs","#3 Hookshot","181.8","21.9","2.1","1.2","19.2","1.3","5.5","27.50","8.62","","","","96-13","Dec 31, 1996"
"Lightning Discs","#2 Driver","177.6","21.4","2.0","1.2","18.2","1.6","5.6","29.00","12.02","","","","96-08","Dec 31, 1996"
"Lightning Discs","The Driver","177.6","21.4","1.5","1.1","18.2","1.6","5.1","28.75","6.35","","","","96-14","Dec 31, 1996"
"Millennium Golf Discs","Polaris LF","175.1","21.1","1.9","1.1","17.9","1.6","5.2","28.50","10.55","","","","96-06","Oct 12, 1996"
"Millennium Golf Discs","Polaris LS","175.1","21.1","1.9","1.1","17.9","1.6","5.2","35.00","10.66","","","","96-07","Oct 12, 1996"
"Innova-Champion Discs","Moray","179.3","21.6","1.9","1.1","19.2","1.2","5.1","41.00","8.28","","","","96-05","Oct 2, 1996"
"Disc Golf Association (DGA)","Blunt ""Blowfly""","178.5","21.5","2.7","1.1","18.5","1.5","5.1","52.50","2.38","","","","96-04","Jul 19, 1996"
"Discraft","Cyclone 2","176.8","21.3","1.8","1.2","18.1","1.6","5.6","26.00","11.57","","","","96-03","Jun 4, 1996"
"Lightning Discs","#1 Helix","178.5","21.5","1.6","1.3","18.3","1.6","6.0","31.25","10.87","","","","96-02","Mar 3, 1996"
"Millennium Golf Discs","Aurora MF","180.1","21.7","2.1","1.4","19.4","1.2","6.5","38.75","8.16","","","","96-01","Feb 14, 1996"
"Discraft","Comet","180.9","21.8","2.1","1.3","19.4","1.2","6.0","35.25","10.43","","","","95-05","Oct 31, 1995"
"Innova-Champion Discs","Cheetah","175.1","21.1","1.9","1.2","17.9","1.6","5.7","28.25","10.54","","","","95-04","Oct 10, 1995"
"Wham-O / DTW","The Tool (T501 Mold)","200.0","27.1","3.6","2.1","25.8","0.7","7.7","96.75","5.67","Super Class & Vintage Class","181.6","","95-17","Aug 10, 1995"
"Innova-Champion Discs","Super Nova","200.0","27.5","3.3","2.2","26.3","0.6","8.0","112.50","4.31","Super Class & Vintage Class","184.3","","95-14","Aug 10, 1995"
"Innova-Champion Discs","Apple","200.0","26.4","3.2","2.0","25.1","0.7","7.6","93.25","4.99","Super Class & Vintage Class","176.9","","95-13","Aug 10, 1995"
"Millennium Golf Discs","Tachyon LS","180.1","21.7","1.9","1.2","18.5","1.6","5.5","29.25","8.85","","","","95-07","Jul 27, 1995"
"Millennium Golf Discs","Midrange MS/Aurora","180.9","21.8","1.8","1.2","19.4","1.2","5.5","36.75","7.71","","","","95-08","Jul 27, 1995"
"Millennium Golf Discs","Omega","175.1","21.1","2.0","1.5","19.3","0.9","7.1","55.75","1.36","","","","95-09","Jul 27, 1995"
"Lightning Discs","#1 Hyzer","180.1","21.7","1.8","1.3","18.1","1.8","6.0","29.25","10.66","","","","95-03","Jul 6, 1995"
"Lightning Discs","#2 Hyzer","175.1","21.1","2.0","1.2","17.9","1.6","5.7","29.00","11.57","","","","95-16","Jun 14, 1995"
"Millennium Golf Discs","Tachyon LF","180.1","21.7","2.0","1.3","18.5","1.6","6.0","29.25","8.85","","","","95-06","May 24, 1995"
"Lightning Discs","#1 Roller","180.1","21.7","1.7","1.1","18.1","1.8","5.1","30.75","8.62","","","","95-10","Apr 7, 1995"
"Disc Golf Association (DGA)","Ultra Hi Tech, Approach #4","178.5","21.5","1.5","1.1","18.3","1.6","5.1","28.75","9.10","","","","95-11","Mar 21, 1995"
"Disc Golf Association (DGA)","Ultra Hi Tech, Putter #5","178.5","21.5","2.2","1.4","20.1","0.7","6.5","63.75","5.90","","","","95-12","Mar 21, 1995"
"Lightning Discs","#1 Hookshot","184.3","22.2","1.7","1.5","19.2","1.5","6.8","32.50","7.70","","","","93-11","Mar 21, 1995"
"Lightning Discs","#1 Slice","187.6","22.6","1.8","1.2","19.8","1.4","5.3","27.75","6.69","","","","95-18","Mar 21, 1995"
"Lightning Discs","B-25 Mitchell (retooled)","177.6","21.4","1.5","1.1","18.2","1.6","5.1","28.75","6.35","","","","95-02","Feb 10, 1995"
"Discraft","X-Clone","177.6","21.4","1.7","1.2","18.2","1.6","5.6","27.00","11.11","","","","95-01","Feb 9, 1995"
"Lightning Discs","#1 Flyer","177.6","21.4","1.5","1.1","18.2","1.6","5.1","27.75","9.75","","","","95-15","Feb 2, 1995"
"Discraft","Typhoon","181.8","21.9","1.8","1.2","18.9","1.5","5.5","26.00","11.11","","","","94-10","Dec 1, 1994"
"Innova-Champion Discs","Raven","180.1","21.7","1.9","1.2","18.5","1.6","5.5","29.25","9.69","","","","94-09","Nov 10, 1994"
"Discraft","Rattler Putter","176.0","21.2","2.2","1.6","20.0","0.6","7.5","84.25","4.99","Vintage Class","142.0","","94-08","Aug 25, 1994"
"Innova-Champion Discs","Gopher","190.1","22.9","2.5","2.1","21.5","0.7","9.2","84.25","4.76","Vintage Class","153.4","","94-07","Aug 9, 1994"
"Lightning Discs","B-25 Mitchell","177.6","21.4","1.5","1.1","18.2","1.6","5.1","28.75","6.35","","","","94-06","Jun 1, 1994"
"Innova-Champion Discs","Ram","180.1","21.7","1.9","1.3","18.1","1.8","6.0","27.50","7.82","","","","94-05","Apr 1, 1994"
"Innova-Champion Discs","Gazelle","176.0","21.2","1.8","1.2","18.0","1.6","5.7","28.25","10.54","","","","94-02","Mar 8, 1994"
"Innova-Champion Discs","Python","180.1","21.7","1.7","1.1","17.9","1.9","5.1","31.25","8.05","","","","94-04","Feb 21, 1994"
"Innova-Champion Discs","Dolphin","177.6","21.4","2.1","1.2","18.2","1.6","5.6","41.50","7.94","","","","94-03","Feb 21, 1994"
"Innova-Champion Discs","Pole Cat","176.8","21.3","2.3","1.6","19.9","0.7","7.5","83.25","4.20","Vintage Class","142.7","","94-01","Jan 5, 1994"
"Innova-Champion Discs","Cobra Classic","180.1","21.7","2.1","1.1","19.3","1.2","5.1","35.25","8.85","","","","94-12","Jan 1, 1994"
"Lightning Discs","Rubber Putter","179.3","21.6","2.5","1.3","19.0","1.3","6.0","45.50","7.70","","","","94-13","Jan 1, 1994"
"Innova-Champion Discs","Classic Roc","176.0","21.2","2.0","1.2","19.4","0.9","5.7","42.75","8.96","","","","94-11","Jan 1, 1994"
"Innova-Champion Discs","Piranha","176.0","21.2","2.1","1.6","19.8","0.7","7.5","81.50","0.75","Vintage Class","142.0","","93-10","Oct 28, 1993"
"Discraft","The Hawk","178.5","21.5","1.8","1.2","19.1","1.2","5.6","33.00","11.10","","","","93-09","Sep 30, 1993"
"Innova-Champion Discs","Griffin","176.0","21.2","2.0","1.3","17.8","1.7","6.1","33.25","8.80","","","","93-08","Sep 22, 1993"
"Innova-Champion Discs","Panther","176.0","21.2","1.9","1.2","18.6","1.3","5.7","34.00","12.02","","","","93-07","Jul 26, 1993"
"Discraft","Cyclone","176.8","21.3","1.8","1.2","18.1","1.6","5.6","26.00","12.25","","","","93-05","Jul 14, 1993"
"Discraft","Magnet","176.0","21.2","2.0","1.4","19.6","0.8","6.6","47.75","8.85","","","","93-06","Jul 14, 1993"
"Wham-O / DTW","44 Mold","179.3","21.6","2.2","1.2","18.4","1.6","5.6","31.50","12.25","","","","93-04","Jun 30, 1993"
"Lightning Discs","P-38J Lightning","180.9","21.8","1.4","1.1","19.2","1.3","5.0","26.00","9.98","","","","93-03","May 14, 1993"
"Lightning Discs","Upshot","179.3","21.6","2.2","1.4","20.2","0.7","6.5","63.75","2.04","","","","93-02","Feb 13, 1993"
"Lightning Discs","F-6 Hellcat","187.6","22.6","1.8","1.2","19.8","1.4","5.3","27.75","6.69","","","","93-01","Jan 24, 1993"
"Disc Golf Association (DGA)","DGA Factor I (modified Viper)","180.1","21.7","2.0","1.3","18.5","1.6","6.0","29.25","8.51","","","","92-06","Aug 8, 1992"
"Disc Golf Association (DGA)","DGA Factor I (modified Whippet)","174.3","21.0","1.9","1.3","17.6","1.7","6.2","26.00","12.25","","","","92-07","Aug 8, 1992"
"Disc Golf Association (DGA)","DGA Factor IV (modified Aviar)","176.0","21.2","2.1","1.5","19.4","0.9","7.1","55.75","8.68","","","","92-05","Aug 8, 1992"
"Lightning Discs","Dauntless","184.3","22.2","1.7","1.5","19.2","1.5","6.8","32.50","7.70","","","","92-04","Jul 23, 1992"
"Innova-Champion Discs","Zephyr","200.0","24.1","2.7","1.7","22.7","0.7","7.1","83.00","10.00","Super Class & Vintage Class","161.5","","92-03","Jul 6, 1992"
"Innova-Champion Discs","Whippet","176.0","21.2","1.9","1.3","17.8","1.7","6.1","26.00","12.25","","","","92-02","Feb 7, 1992"
"Discraft","Marauder","185.1","22.3","2.0","1.2","19.3","1.5","5.4","30.25","10.77","","","","92-01","Jan 10, 1992"
"Disc Golf Association (DGA)","#5 Roller-Putter","179.3","21.6","1.7","1.1","19.2","1.2","5.1","35.75","12.25","","","","91-09","Dec 31, 1991"
"Innova-Champion Discs","Viper","180.1","21.7","2.0","1.3","18.5","1.6","6.0","29.25","8.51","","","","91-07","Dec 3, 1991"
"Innova-Champion Discs","Jaguar","200.0","24.1","1.7","1.4","20.9","1.6","5.8","36.00","10.22","","","","91-06","Nov 5, 1991"
"Lightning Discs","B-2 Stealth","185.9","22.4","1.8","1.2","19.4","1.5","5.4","30.75","8.20","","","","91-05","Oct 11, 1991"
"Innova-Champion Discs","Condor","200.0","24.1","2.2","1.6","21.5","1.3","6.6","49.25","12.25","","","","91-04","May 13, 1991"
"Innova-Champion Discs","Birdie","175.1","21.1","2.3","1.9","19.7","0.7","9.0","98.25","11.80","Vintage Class","142.0","","91-03","May 13, 1991"
"Innova-Champion Discs","Birdie (retooled)","176.0","21.2","2.4","1.9","19.8","0.7","9.0","98.25","11.80","Vintage Class","142.0","","91-09","May 13, 1991"
"Lightning Discs","F-18 Hornet","183.4","22.1","2.0","1.2","18.9","1.6","5.4","31.00","8.20","","","","91-02","Apr 19, 1991"
"Wham-O / DTW","86 Softie","176.8","21.3","2.6","1.5","19.3","1.0","7.0","48.00","3.51","","","","91-08","Jan 1, 1991"
"Discraft","Shadow","183.4","22.1","2.1","1.8","19.1","1.5","8.1","29.25","12.25","","","","90-06","Dec 14, 1990"
"Discraft","Tracer","185.1","22.3","1.7","1.8","19.3","1.5","8.1","26.50","11.11","","","","90-05","Oct 20, 1990"
"Innova-Champion Discs","Barracuda","186.8","22.5","1.7","1.2","19.3","1.6","5.3","30.75","11.75","","","","90-04","Sep 16, 1990"
"Innova-Champion Discs","Scorpion","186.8","22.5","2.1","1.2","19.1","1.7","5.3","29.50","11.80","","","","90-03","Sep 16, 1990"
"Innova-Champion Discs","Lynx","200.0","24.1","2.5","1.6","21.5","1.3","6.6","45.75","12.25","","","","90-02","Jun 21, 1990"
"Lightning Discs","F-14 Tomcat","180.1","21.7","1.9","1.1","18.9","1.4","5.1","34.00","11.80","","","","90-01","May 16, 1990"
"Discraft","Deuce","180.1","21.7","2.2","1.3","19.5","1.1","6.0","51.00","9.75","","","","90-12","Jan 1, 1990"
"Wham-O / DTW","77 Mold","180.1","21.7","2.0","1.1","19.3","1.2","5.1","34.75","7.71","","","","90-07","Jan 1, 1990"
"Wham-O / DTW","78 Mold","180.1","21.7","2.0","1.1","19.3","1.2","5.1","33.75","11.80","","","","90-08","Jan 1, 1990"
"Discraft","Vortex","180.1","21.7","1.6","1.3","19.0","1.4","6.0","26.25","9.98","","","","90-14","Jan 1, 1990"
"Innova-Champion Discs","Aviar XD (retooled)","176.0","21.2","2.0","1.2","19.4","0.9","5.7","42.75","8.96","","","","90-09","Jan 1, 1990"
"Discraft","Phantom Deuce","180.1","21.7","2.2","1.3","19.5","1.1","6.0","51.00","9.75","","","","90-13","Jan 1, 1990"
"Lightning Discs","Spitfire","185.1","22.3","2.0","1.2","19.2","1.5","5.4","36.25","9.10","","","","90-10","Jan 1, 1990"
"Disc Golf Association (DGA)","#4 Approach","179.3","21.6","1.8","1.1","19.2","1.2","5.1","34.75","12.25","","","","89-19","Jan 1, 1989"
"Disc Golf Association (DGA)","#4 Hi Tec (modified Stingray)","180.1","21.7","1.8","1.1","19.3","1.2","5.1","38.25","9.10","","","","89-14","Jan 1, 1989"
"Disc Golf Association (DGA)","#5 Hi Tec (modified Stingray)","180.1","21.7","1.8","1.1","19.3","1.2","5.1","38.25","9.10","","","","89-15","Jan 1, 1989"
"Lightning Discs","F-4-U Corsair","180.9","21.8","1.9","1.1","19.0","1.4","5.0","34.25","8.20","","","","89-02","Jan 1, 1989"
"Discraft","Eclipse","182.6","22.0","1.6","1.2","19.2","1.4","5.5","26.00","12.25","","","","89-01","Jan 1, 1989"
"Destiny/Dynamic Discs","Jeteye","180.1","21.7","1.7","1.1","20.0","0.8","5.1","49.50","9.41","","","","89-04","Jan 1, 1989"
"Destiny/Dynamic Discs","Long Ranger","180.1","21.7","1.7","1.1","20.0","0.8","5.1","49.50","9.41","","","","89-03","Jan 1, 1989"
"Discraft","Windstar","177.6","21.4","1.9","1.3","17.9","1.7","6.1","38.50","9.41","","","","89-05","Jan 1, 1989"
"Disc Golf Association (DGA)","#1 Hi Tec (modified Stingray)","180.1","21.7","1.8","1.1","19.3","1.2","5.1","38.25","9.10","","","","89-11","Jan 1, 1989"
"Disc Golf Association (DGA)","#1 Professional Driver","179.3","21.6","1.8","1.2","19.2","1.2","5.6","36.75","8.17","","","","89-16","Jan 1, 1989"
"Innova-Champion Discs","Shark","180.1","21.7","2.1","1.3","19.3","1.2","6.0","39.50","11.32","","","","89-06","Jan 1, 1989"
"Disc Golf Association (DGA)","#2 Hi Tec (modified Stingray)","180.1","21.7","1.8","1.1","19.3","1.2","5.1","38.25","9.10","","","","89-12","Jan 1, 1989"
"Disc Golf Association (DGA)","#2 Professional Driver","179.3","21.6","1.8","1.2","19.2","1.2","5.6","36.75","10.22","","","","89-17","Jan 1, 1989"
"Disc Golf Association (DGA)","#3 Hi Tec (modified Stingray)","180.1","21.7","1.8","1.1","19.3","1.2","5.1","38.25","9.10","","","","89-13","Jan 1, 1989"
"Discraft","Cruiser-Windstar","177.6","21.4","1.8","1.2","18.1","1.7","5.6","34.50","8.62","","","","89-10","Jan 1, 1989"
"Disc Golf Association (DGA)","#3 Professional Driver","179.3","21.6","1.8","1.2","19.2","1.2","5.6","36.75","10.44","","","","89-18","Jan 1, 1989"
"Lightning Discs","F-8-F Bearcat","179.3","21.6","2.0","1.1","19.0","1.3","5.1","27.25","6.69","","","","88-05","Jan 1, 1988"
"Lightning Discs","P-40 Flying Tiger","180.9","21.8","2.8","1.3","19.2","1.3","6.0","35.75","8.20","","","","88-03","Jan 1, 1988"
"Lightning Discs","AT-6 Texan","179.3","21.6","2.5","1.3","19.0","1.3","6.0","45.50","7.70","","","","88-06","Jan 1, 1988"
"Lightning Discs","B-17 Flying Fortress","195.9","23.6","2.1","1.4","19.2","1.7","5.9","30.25","12.25","","","","88-07","Jan 1, 1988"
"Innova-Champion Discs","Phenix","190.9","23.0","2.6","1.3","19.6","1.7","5.7","38.50","11.50","","","","88-01","Jan 1, 1988"
"Lightning Discs","P-51 Mustang","180.9","21.8","2.2","1.2","19.3","1.3","5.5","35.75","8.20","","","","88-04","Jan 1, 1988"
"Disc Golf Association (DGA)","Super Drive","194.2","23.4","2.9","1.7","21.7","0.8","7.3","92.00","6.35","","","","88-09","Jan 1, 1988"
"Lightning Discs","SR-71 Blackbird","181.8","21.9","2.1","1.2","19.2","1.3","5.5","27.50","8.62","","","","88-08","Jan 1, 1988"
"Innova-Champion Discs","Cobra","180.1","21.7","2.0","1.1","19.3","1.2","5.1","35.25","9.10","","","","88-02","Jan 1, 1988"
"Lightning Discs","F-15 Eagle","177.6","21.4","2.0","1.2","18.2","1.6","5.6","29.00","12.02","","","","87-08","Jan 1, 1987"
"Lightning Discs","X-15","177.6","21.4","1.8","1.1","18.8","1.3","5.1","34.00","11.40","","","","87-09","Jan 1, 1987"
